FirstName,LastName,EmailAddress,Address1,City,State,PostalCode,Company,PhoneNumber
Michael,Johnson,michael.johnson@techcore.example.com,1423 Main Street,New York,NY,10001,TechCore Solutions,(212) 555-0101
Jennifer,Williams,jennifer.williams@innovateusa.example.com,2847 Park Avenue,Los Angeles,CA,90001,Innovate USA,(213) 555-0102
David,Martinez,david.martinez@bluewave.example.com,3651 Broadway,Chicago,IL,60601,BlueWave Industries,(312) 555-0103
Sarah,Chen,sarah.chen@globalreach.example.com,4729 Fifth Avenue,Houston,TX,77001,Global Reach Corp,(713) 555-0104
Christopher,Brown,christopher.brown@nextstep.example.com,5843 Washington Street,Phoenix,AZ,85001,NextStep Technologies,(602) 555-0105
Lisa,Garcia,lisa.garcia@primesolutions.example.com,6957 Jefferson Road,Philadelphia,PA,19101,Prime Solutions Inc,(215) 555-0106
Robert,Davis,robert.davis@skylinegroup.example.com,7168 Madison Avenue,San Antonio,TX,78201,Skyline Group,(210) 555-0107
Maria,Rodriguez,maria.rodriguez@venturetech.example.com,8274 Adams Street,San Diego,CA,92101,VentureTech LLC,(619) 555-0108
James,Wilson,james.wilson@horizonworks.example.com,9385 Monroe Drive,Dallas,TX,75201,Horizon Works,(214) 555-0109
Patricia,Nguyen,patricia.nguyen@stellarventures.example.com,1092 Lincoln Boulevard,San Jose,CA,95101,Stellar Ventures,(408) 555-0110
William,Anderson,william.anderson@apexcorp.example.com,2148 Jackson Lane,Austin,TX,78701,Apex Corporation,(512) 555-0111
Linda,Thomas,linda.thomas@momentumtech.example.com,3259 Harrison Court,Jacksonville,FL,32201,Momentum Tech,(904) 555-0112
Richard,Taylor,richard.taylor@vanguardgroup.example.com,4361 Tyler Place,Fort Worth,TX,76101,Vanguard Group,(817) 555-0113
Elizabeth,Patel,elizabeth.patel@fusionworks.example.com,5472 Polk Avenue,Columbus,OH,43201,Fusion Works Inc,(614) 555-0114
Joseph,Moore,joseph.moore@crescentcorp.example.com,6583 Grant Street,Charlotte,NC,28201,Crescent Corporation,(704) 555-0115
Susan,Lee,susan.lee@pulseventures.example.com,7694 Hayes Road,Indianapolis,IN,46201,Pulse Ventures,(317) 555-0116
